country,country_code,year,population,gdp,christian,islam,buddhist,judaism,nonrelig,other
Chile,CL,1988,12893182,2013.539878,0.93962156082498,0.0001020484654619,3.8268174548230816e-05,0.0006468581356249,0.0223231018198013,0.0362494889702616
Chile,CL,1989,13105665,2277.847643,0.941212440303432,0.0001389527521872,5.210728207020991e-05,0.0007125980985494,0.0303959145409557,0.0267625947255334
Chile,CL,1990,13324345,2487.768297,0.9430019083969464,0.0001526717557251,5.725190839694656e-05,0.0007328244274809,0.0333969465648854,0.0226583969465648
Chile,CL,1991,13550007,2798.342624,0.9460407780755488,0.0001345865605255,5.046996019707618e-05,0.0006459704280581,0.0294408101149611,0.0248560798765228
Chile,CL,1992,13774975,3351.841089,0.950346016148282,9.572065875607313e-05,3.589524703352742e-05,0.0004594000752027,0.0209388941028909,0.0304549752104912
Chile,CL,1993,13994180,3540.913773,0.9543816764040804,5.113485976700517e-05,1.917557241262694e-05,0.0002454327999328,0.0111857505740323,0.0370060946360984
Chile,CL,1994,14210372,4012.101599,0.9567174226707612,1.486447953954416e-05,5.57417982732906e-06,7.132091625223592e-05,0.0032516048992752,0.0422257700050524
Chile,CL,1995,14422140,5081.468277,0.9560168895144264,0.0,0.0,0.0,0.0,0.0439831104855735
Chile,CL,1996,14632623,5333.504387,0.9537477180671782,7.283594521876762e-06,1.1931221502502888e-05,5.715887510501383e-05,0.0019477719102835,0.0427617059676709
Chile,CL,1997,14835468,5741.95843,0.9514463397296786,2.593177698425476e-05,4.036872934224356e-05,0.000199585734731,0.0070111588062706,0.0407838430387171
Chile,CL,1998,15029401,5419.824173,0.94798654874823,5.144579216966687e-05,7.440060757345524e-05,0.0003855733846206,0.0140700190734261,0.0386004124980328
Chile,CL,1999,15226197,4933.555815,0.9423036588378676,7.928561396514151e-05,0.0001038708169509,0.0005754536536276,0.0220600561208893,0.0367348238673417
Chile,CL,2000,15412428,5052.992458,0.9333939911905856,0.0001053842613897,0.0001191243179278,0.0007315100913812,0.0299648938268358,0.0356850963118795
Chile,CL,2001,15594842,4563.595299,0.9218936328472896,0.0001342796928645,0.0001227385121161,0.0008736933178897,0.0405952603871923,0.0356899992167558
Chile,CL,2002,15772856,4430.847412,0.9097013662562656,0.0001689608930647,0.0001244672186141,0.001026998390876,0.0548222800540547,0.0363538891339095
Chile,CL,2003,15942995,4773.401775,0.8977001365158193,0.0002030652321683,0.0001254578739568,0.0011636690640678,0.0689270603051412,0.0372226577172542
Chile,CL,2004,16106508,6120.591521,0.8867012914646909,0.0002305775869004,0.0001266745728357,0.0012577864265457,0.079418610995888,0.0378683556277885
Chile,CL,2005,16268135,7480.32331,0.877454355443536,0.0002458966004794,0.0001290957152517,0.0012848097375053,0.083,0.0378858425032273
Chile,CL,2006,16429419,9318.656553,0.8735312900290217,0.0002527564713591,0.0001330361220432,0.0012706530523125,0.0818549734806353,0.0369338189678743
Chile,CL,2007,16588969,10346.41382,0.8768117742906333,0.0002584498819946,0.0001380405190443,0.0012566862248138,0.0797543239808575,0.0350563345524505
