,year,name,alpha_2,abb,christian,islam,buddhist,judaism,nonrelig,other,pop
475,1983,Bulgaria,BG,BUL,0.7380796616102763,0.1278339030722001,0.0,0.0007048292787918953,0.12449553865687356,0.00876154082354609,8929822
476,1984,Bulgaria,BG,BUL,0.7311239288742672,0.1269654837971679,0.0,0.0006620859350438263,0.13030340725024334,0.011523804638155619,8947479
477,1985,Bulgaria,BG,BUL,0.7277994419642857,0.12624743303571428,0.0,0.000625,0.13265636160714286,0.012671763392857143,8960000
478,1986,Bulgaria,BG,BUL,0.7312567424797519,0.1256449255746187,0.0,0.0005890123278953474,0.1302589112224743,0.012439721840795642,8969252
479,1987,Bulgaria,BG,BUL,0.7405942996052216,0.12504859265642157,0.0,0.0005492501749335631,0.12436500954476729,0.011865519141106836,8977694
480,1988,Bulgaria,BG,BUL,0.7519807484109771,0.12447775968881895,0.0,0.0005115414594001809,0.11649644408565804,0.011091634594226638,8984609
481,1989,Bulgaria,BG,BUL,0.7616020098599633,0.12395171005295973,0.0,0.00048212966484646215,0.10816580143266154,0.010259438934117437,8989283
482,1990,Bulgaria,BG,BUL,0.7656545434323212,0.12348960071182294,0.0,0.0004671338004671338,0.10087899010121232,0.009509731954176398,8991000
483,1991,Bulgaria,BG,BUL,0.7671520748503805,0.12383692325522547,0.0,0.0004648167816421647,0.09519783295816112,0.008886111050826009,8939006
484,1992,Bulgaria,BG,BUL,0.771092148776275,0.12531396042952375,0.0,0.0004680183666567555,0.09024855815389225,0.008303694439841936,8811620
485,1993,Bulgaria,BG,BUL,0.7766503346729497,0.1272999735313053,0.0,0.00047389366057424355,0.08545724381135333,0.007717647222000686,8651730
486,1994,Bulgaria,BG,BUL,0.7828964105522,0.12911546586559028,0.0,0.0004796390404537541,0.08031872120092771,0.007092377091319721,8502227
487,1995,Bulgaria,BG,BUL,0.78871532238877,0.13,0.0,0.00048215560314061385,0.07439971448965026,0.00640280751843921,8406000
488,1996,Bulgaria,BG,BUL,0.7960960136953268,0.12918601224082035,0.0,0.0004816856581833214,0.06661926761770977,0.005605112973049526,8360224
489,1997,Bulgaria,BG,BUL,0.806527642887952,0.12702670962647447,0.0,0.00048080017445217116,0.05737432671164382,0.004727908408767566,8327784
490,1998,Bulgaria,BG,BUL,0.8179932560108683,0.12441886466383908,0.0,0.0004795104463398895,0.048533565490283766,0.0038636734933854065,8300132
491,1999,Bulgaria,BG,BUL,0.8284836105225476,0.12226608229568785,0.0,0.00047758298745150397,0.04195800559215937,0.0031025358217475012,8268720
492,2000,Bulgaria,BG,BUL,0.836,0.12147793313069909,0.0,0.0004750151975683891,0.03951367781155015,0.002533373860182371,8225000
493,2001,Bulgaria,BG,BUL,0.8387730000525169,0.12210684873819659,0.0,0.0004668846852497815,0.04001833672729664,0.0020962570204486903,8149764
494,2002,Bulgaria,BG,BUL,0.8375171558751203,0.1233673866860587,0.0,0.0004508176696157967,0.04091101970704809,0.0016896337920790615,8043163
495,2003,Bulgaria,BG,BUL,0.833949474101774,0.12491486532760983,0.0,0.000429111553610934,0.042012935675660806,0.0013431027604199918,7925678
496,2004,Bulgaria,BG,BUL,0.8298824886195547,0.12637436433490973,0.0,0.0004049734733421031,0.043127500385019,0.0010926353156311575,7817796
497,2005,Bulgaria,BG,BUL,0.8272686046511628,0.12733565891472867,0.0,0.0003815245478036176,0.04403578811369509,0.0009784237726098192,7740000
498,2006,Bulgaria,BG,BUL,0.8260892080954053,0.12788613699191953,0.0,0.0003593805746602084,0.04476044721412394,0.0009489364703102461,7685446
499,2007,Bulgaria,BG,BUL,0.8249972202551917,0.12836540658990075,0.0,0.00033671255133687716,0.045467457471868915,0.0009256648435818933,7635593
500,2008,Bulgaria,BG,BUL,0.8240375948919663,0.1287216008908822,0.0,0.0003135629335689072,0.04613747357563939,0.0009089505953349843,7593372
501,2009,Bulgaria,BG,BUL,0.8232574457966948,0.12890129700718725,0.0,0.00028961680126574443,0.046749441528880484,0.00089913453507114,7561716
502,2010,Bulgaria,BG,BUL,0.8227045941324497,0.12885168097755476,0.0,0.00026512691559167645,0.047281938745872804,0.0008966592285310497,7543557
503,1960,Benin,BJ,BEN,0.15127447474295933,0.12472060795708538,0.0,0.0,5.05140813589629e-05,0.7239544032185964,2237000
504,1961,Benin,BJ,BEN,0.14898791128885658,0.12479912743137611,0.0,0.0,5.8171241592437735e-05,0.7261297945828031,2200400
505,1962,Benin,BJ,BEN,0.14756358461114683,0.12484803966577908,0.0,0.0,6.932329446331834e-05,0.7274850794233771,2178200
506,1963,Benin,BJ,BEN,0.14682065719032675,0.1248735462433081,0.0,0.0,8.353332102639838e-05,0.7281918035813181,2166800
507,1964,Benin,BJ,BEN,0.146545362064182,0.12488301119023398,0.0,0.0,9.9879774345695e-05,0.7284537131230926,2162600
508,1965,Benin,BJ,BEN,0.14650601295097132,0.12488436632747456,0.0,0.0,0.00011794634597594819,0.7284916743755782,2162000
509,1966,Benin,BJ,BEN,0.1494218313646848,0.1276578569530345,0.0,0.0,0.0001355968483483034,0.7233280092296557,2205066
510,1967,Benin,BJ,BEN,0.1564481088319635,0.13352551483981848,0.0,0.0,0.00015215449906156984,0.7114078700185611,2313438
511,1968,Benin,BJ,BEN,0.1650888867805676,0.13910142893964153,0.0,0.0,0.00016938959076533556,0.6977979760387023,2455877
512,1969,Benin,BJ,BEN,0.173518651793211,0.14187026938916109,0.0,0.0,0.00018799420562644743,0.6862299818848937,2601144
513,1970,Benin,BJ,BEN,0.18065011037527595,0.14,0.0,0.0,0.0002108167770419426,0.6791390728476822,2718000
514,1971,Benin,BJ,BEN,0.18682320407534178,0.13530305810996937,0.0,0.0,0.00024232532531284022,0.6759675640424854,2806145
515,1972,Benin,BJ,BEN,0.1928553692089831,0.13074755386213247,0.0,0.0,0.0002832889640939896,0.6743136216623936,2887511
516,1973,Benin,BJ,BEN,0.19874873701380302,0.12638903179773328,0.0,0.0,0.0003285872603278113,0.673388648895741,2964205
517,1974,Benin,BJ,BEN,0.20448785715320117,0.12229242887215748,0.0,0.0,0.00037323110180190975,0.6724976072397618,3038332
518,1975,Benin,BJ,BEN,0.21004241645244215,0.11852827763496145,0.0,0.0,0.0004132390745501285,0.6710160668380463,3112000
519,1976,Benin,BJ,BEN,0.2155008221947319,0.11508023313117903,0.0,0.0,0.0004453554797895986,0.6692793978617908,3181728
520,1977,Benin,BJ,BEN,0.2209224524800568,0.11184591536730766,0.0,0.0,0.0004731662957732942,0.6677251298126804,3246216
521,1978,Benin,BJ,BEN,0.22620174149105923,0.1087892774071603,0.0,0.0,0.0005016852213682264,0.6659616091500619,3310841
522,1979,Benin,BJ,BEN,0.23120713332270523,0.10589808803786598,0.0,0.0,0.0005353482144362414,0.6636398295522271,3380977
523,1980,Benin,BJ,BEN,0.23578856152512997,0.10317735413056037,0.0,0.0,0.0005777007510109763,0.6604563835932987,3462000
524,1981,Benin,BJ,BEN,0.23938305057514592,0.1023811122155975,0.0,0.0,0.0006418130079907826,0.6581591567054572,3560227
525,1982,Benin,BJ,BEN,0.24198400283890828,0.1045802432448025,0.0,0.0,0.0007306814359563844,0.6565726496005608,3674652
526,1983,Benin,BJ,BEN,0.2442379115627066,0.10880698924957576,0.0,0.0,0.0008324420264528653,0.6528090378517679,3799664
527,1984,Benin,BJ,BEN,0.24673393304747243,0.11419439390276488,0.0,0.0,0.0009364701690990292,0.6443441527871439,3929650
528,1985,Benin,BJ,BEN,0.25,0.12,0.0,0.0,0.0010347376201034738,0.6289652623798965,4059000
529,1986,Benin,BJ,BEN,0.25381153395847433,0.12902919353471992,0.0,0.0,0.0011285477466639454,0.6095432460785473,4189455
530,1987,Benin,BJ,BEN,0.2579109742419201,0.14249638090226227,0.0,0.0,0.0012242850995832807,0.5905673862010237,4324973
531,1988,Benin,BJ,BEN,0.2627024219724448,0.1576364646224074,0.0,0.0,0.0013214547294210536,0.572355023667662,4463263
532,1989,Benin,BJ,BEN,0.2685485293900352,0.17203429090950179,0.0,0.0,0.001419806363965862,0.5551460266716731,4602036
533,1990,Benin,BJ,BEN,0.27577970035872545,0.18358303439544207,0.0,0.0,0.001519307870858831,0.5391179573749736,4739000
534,1991,Benin,BJ,BEN,0.28517774944063784,0.1924244771336037,0.0,0.0,0.00160017070676087,0.5221078591792329,4873855
535,1992,Benin,BJ,BEN,0.29685591228662195,0.20019608117201432,0.0,0.0,0.001664892884170339,0.5025822013406201,5008130
536,1993,Benin,BJ,BEN,0.31017582288935425,0.20720509610820265,0.0,0.0,0.0017443634405536691,0.48154309851452964,5142277
537,1994,Benin,BJ,BEN,0.32455924574785616,0.21372492538020563,0.0,0.0,0.0018651632159946937,0.4598963377078694,5276750
538,1995,Benin,BJ,BEN,0.33948170731707317,0.22,0.0,0.0,0.002052475979305248,0.43846581670362156,5412000
539,1996,Benin,BJ,BEN,0.35758084212270114,0.2267654182146222,0.0,0.0,0.003551056772335178,0.4117619777787362,5541449
540,1997,Benin,BJ,BEN,0.3793592006778704,0.23387639457703716,0.0,0.0,0.006983653438779833,0.3783035588193758,5664800
541,1998,Benin,BJ,BEN,0.40127118336801954,0.24027396068250872,0.0,0.0,0.011489960334437974,0.3445644851125515,5791926
542,1999,Benin,BJ,BEN,0.41993655166508476,0.24494981290983653,0.0,0.0,0.01625414798419809,0.3166751535261932,5932701
